454,MWI,Malawi
458,MYS,Malaysia
462,MDV,Maldives
466,MLI,Mali
470,MLT,Malta
474,MTQ,Martinique
478,MRT,Mauritania
480,MUS,Mauritius
484,MEX,Mexico
492,MCO,Monaco
496,MNG,Mongolia
498,MDA,Moldova
499,MNE,Montenegro
500,MSR,Montserrat
504,MAR,Morocco
508,MOZ,Mozambique
512,OMN,Oman
516,NAM,Namibia
520,NRU,Nauru
524,NPL,Nepal
528,NLD,Netherlands
531,CUW,Curacao
533,ABW,Aruba
534,SXM,Sint Maarten (Dutch part)
535,BES,"Bonaire, Sint Eustatius and Saba"
540,NCL,New Caledonia
548,VUT,Vanuatu
554,NZL,New Zealand
558,NIC,Nicaragua
562,NER,Niger
566,NGA,Nigeria
570,NIU,Niue
574,NFK,Norfolk Island
578,NOR,Norway
580,MNP,Northern Mariana Islands
581,UMI,United States Minor Outlying Islands
583,FSM,Micronesia
584,MHL,Marshall Islands
585,PLW,Palau
586,PAK,Pakistan
591,PAN,Panama
598,PNG,Papua New Guinea
600,PRY,Paraguay
604,PER,Peru
608,PHL,Philippines
612,PCN,Pitcairn Islands
616,POL,Poland
620,PRT,Portugal
624,GNB,Guinea-Bissau
626,TLS,East Timor
630,PRI,Puerto Rico
634,QAT,Qatar
638,REU,Reunion
642,ROU,Romania
646,RWA,Rwanda
652,BLM,Saint Barthelemy
654,SHN,Saint Helena
659,KNA,Saint Kitts and Nevis
660,AIA,Anguilla
662,LCA,Saint Lucia
663,MAF,Saint Martin (French part)
666,SPM,Saint Pierre and Miquelon
670,VCT,Saint Vincent and the Grenadines
674,SMR,San Marino
678,STP,Sao Tome and Principe
682,SAU,Saudi Arabia
686,SEN,Senegal
688,SRB,Serbia
690,SYC,Seychelles
694,SLE,Sierra Leone
702,SGP,Singapore
703,SVK,Slovakia
704,VNM,Vietnam
705,SVN,Slovenia
706,SOM,Somalia
710,ZAF,South Africa
716,ZWE,Zimbabwe
724,ESP,Spain
728,SSD,South Sudan
729,SDN,Sudan
732,ESH,Western Sahara
740,SUR,Suriname
744,SJM,Svalbard and Jan Mayen Islands
748,SWZ,Swaziland
752,SWE,Sweden
756,CHE,Switzerland
760,SYR,Syria
762,TJK,Tajikistan
764,THA,Thailand
768,TGO,Togo
772,TKL,Tokelau
776,TON,Tonga
780,TTO,Trinidad and Tobago
784,ARE,United Arab Emirates
788,TUN,Tunisia
792,TUR,Turkey
795,TKM,Turkmenistan
796,TCA,Turks and Caicos Islands
798,TUV,Tuvalu
800,UGA,Uganda
804,UKR,Ukraine
807,MKD,Macedonia
818,EGY,Egypt
826,GBR,United Kingdom
831,GGY,Guernsey
832,JEY,Jersey
833,IMN,Isle of Man
834,TZA,Tanzania
854,BFA,Burkina Faso
858,URY,Uruguay
860,UZB,Uzbekistan
862,VEN,Venezuela
876,WLF,Wallis and Futuna
882,WSM,Samoa
887,YEM,Yemen
894,ZMB,Zambia
900,KOS,Kosovo
901,SPR,Spratly Islands
